Start,End
1518196688317.0,1518196689317.0
1518196688417.0,1518196689417.0
1518196688517.0,1518196689517.0
1518196688617.0,1518196689617.0
1518196688717.0,1518196689717.0
1518196688817.0,1518196689817.0
1518196688917.0,1518196689917.0
1518196689017.0,1518196690017.0
1518196689117.0,1518196690117.0
1518196689217.0,1518196690217.0
1518196689317.0,1518196690317.0
1518196689417.0,1518196690417.0
1518196689517.0,1518196690517.0
1518196689617.0,1518196690617.0
1518196689717.0,1518196690717.0
1518196689817.0,1518196690817.0
1518196689917.0,1518196690917.0
1518196690017.0,1518196691017.0
1518196690117.0,1518196691117.0
1518196690217.0,1518196691217.0
1518196690317.0,1518196691317.0
1518196690417.0,1518196691417.0
1518196690517.0,1518196691517.0
1518196690617.0,1518196691617.0
1518196690717.0,1518196691717.0
1518196690817.0,1518196691817.0
1518196690917.0,1518196691917.0
1518196691017.0,1518196692017.0
1518196691117.0,1518196692117.0
1518196691217.0,1518196692217.0
1518196691317.0,1518196692317.0
1518196691417.0,1518196692417.0
1518196691517.0,1518196692517.0
1518196691617.0,1518196692617.0
1518196691717.0,1518196692717.0
1518196691817.0,1518196692817.0
1518196691917.0,1518196692917.0
1518196692017.0,1518196693017.0
1518196692117.0,1518196693117.0
1518196692217.0,1518196693217.0
1518196692317.0,1518196693317.0
1518196692417.0,1518196693417.0
1518196692517.0,1518196693517.0
1518196692617.0,1518196693617.0
1518196692717.0,1518196693717.0
1518196692817.0,1518196693817.0
1518196692917.0,1518196693917.0
1518196693017.0,1518196694017.0
1518196693117.0,1518196694117.0
1518196693217.0,1518196694217.0
1518196693317.0,1518196694317.0
1518196693417.0,1518196694417.0
1518196693517.0,1518196694517.0
1518196693617.0,1518196694617.0
1518196693717.0,1518196694717.0
1518196693817.0,1518196694817.0
1518196693917.0,1518196694917.0
1518196694017.0,1518196695017.0
1518196694117.0,1518196695117.0
1518196694217.0,1518196695217.0
1518196694317.0,1518196695317.0
1518196694417.0,1518196695417.0
1518196694517.0,1518196695517.0
1518196694617.0,1518196695617.0
1518196694717.0,1518196695717.0
1518196694817.0,1518196695817.0
1518196694917.0,1518196695917.0
1518196695017.0,1518196696017.0
1518196695117.0,1518196696117.0
1518196695217.0,1518196696217.0
1518196695317.0,1518196696317.0
1518196695417.0,1518196696417.0
1518196695517.0,1518196696517.0
1518196695617.0,1518196696617.0
1518196695717.0,1518196696717.0
1518196695817.0,1518196696817.0
