Start,End,Label
1517356936865.00,1517356941869.00,0
1517356941869.00,1517356951879.00,1
1517356951879.00,1517356961888.00,0
1517356961888.00,1517356971896.00,2
1517356971896.00,1517356981903.00,0
1517356981903.00,1517356991911.00,3
1517356991911.00,1517357001917.00,0
1517357001917.00,1517357011925.00,1
1517357011925.00,1517357021935.00,0
1517357021935.00,1517357031944.00,2
1517357031944.00,1517357041949.00,0
1517357041949.00,1517357051957.00,3
1517357051957.00,1517357061964.00,0
1517357061964.00,1517357071970.00,1
1517357071970.00,1517357081978.00,0
1517357081978.00,1517357091985.00,2
1517357091985.00,1517357101993.00,0
1517357101993.00,1517357112000.00,3
1517357112000.00,1517357122007.00,0
1517357122007.00,1517357132014.00,1
1517357132014.00,1517357142019.00,0
1517357142019.00,1517357152028.00,2
1517357152028.00,1517357162039.00,0
1517357162039.00,1517357172049.00,3
