Start,End,Label
0,50048,0
50048,52576,1
52576,53824,0
53824,58688,2
58688,60096,0
60096,64192,3
64192,68608,0
68608,71232,4
71232,73792,0
73792,80128,5
80128,82880,0
82880,88448,6
88448,100160,0
100160,107200,7
107200,110208,0
110208,116288,8
116288,118336,0
118336,119808,9
119808,121600,0
121600,122624,10
122624,123712,0
123712,125120,11
125120,161280,0
161280,163520,1
163520,165952,0
165952,170304,2
170304,171648,0
171648,176640,3
176640,179200,0
179200,182272,4
182272,185088,0
185088,192192,5
192192,194432,0
194432,198976,6
198976,201664,0
201664,206784,7
206784,208832,0
208832,215488,8
215488,217536,0
217536,220032,9
220032,221568,0
221568,223168,10
223168,224896,0
224896,226176,11
226176,287968,0
