Start,End,Label
1518198853102.00 ,1518198858266.00 ,0
1518198858266.00 ,1518198869140.00 ,1
1518198869140.00 ,1518198880112.00 ,0
1518198880112.00 ,1518198890147.00 ,2
1518198890147.00 ,1518198901132.00 ,0
1518198901132.00 ,1518198912126.00 ,3
1518198912126.00 ,1518198923128.00 ,0
1518198923128.00 ,1518198933158.00 ,1
1518198933158.00 ,1518198944124.00 ,0
1518198944124.00 ,1518198954153.00 ,2
1518198954153.00 ,1518198965120.00 ,0
1518198965120.00 ,1518198975150.00 ,3
1518198975150.00 ,1518198986138.00 ,0
1518198986138.00 ,1518198997129.00 ,1
1518198997129.00 ,1518199008131.00 ,0
1518199008131.00 ,1518199019138.00 ,2
1518199019138.00 ,1518199030137.00 ,0
1518199030137.00 ,1518199041136.00 ,3
1518199041136.00 ,1518199052130.00 ,0
1518199052130.00 ,1518199063123.00 ,1
1518199063123.00 ,1518199074114.00 ,0
1518199074114.00 ,1518199084129.00 ,2
1518199084129.00 ,1518199095139.00 ,0
1518199095139.00 ,1518199106142.00 ,3
