Start,End,Label
1518198096242.00 ,1518198101363.00 ,0
1518198101363.00 ,1518198112281.00 ,1
1518198112281.00 ,1518198123273.00 ,0
1518198123273.00 ,1518198134267.00 ,2
1518198134267.00 ,1518198145272.00 ,0
1518198145272.00 ,1518198156265.00 ,3
1518198156265.00 ,1518198167266.00 ,0
1518198167266.00 ,1518198178257.00 ,1
1518198178257.00 ,1518198188555.00 ,0
1518198188555.00 ,1518198199485.00 ,2
1518198199485.00 ,1518198210351.00 ,0
1518198210351.00 ,1518198221286.00 ,3
1518198221286.00 ,1518198232277.00 ,0
1518198232277.00 ,1518198243262.00 ,1
1518198243262.00 ,1518198254270.00 ,0
1518198254270.00 ,1518198265278.00 ,2
1518198265278.00 ,1518198276268.00 ,0
1518198276268.00 ,1518198287270.00 ,3
1518198287270.00 ,1518198298256.00 ,0
1518198298256.00 ,1518198308287.00 ,1
1518198308287.00 ,1518198319254.00 ,0
1518198319254.00 ,1518198329283.00 ,2
1518198329283.00 ,1518198340268.00 ,0
1518198340268.00 ,1518198351280.00 ,3
