Start,End,Label
1518198096242.0,1518198101363.0,0
1518198101363.0,1518198112281.0,1
1518198112281.0,1518198123273.0,0
1518198123273.0,1518198134267.0,2
1518198134267.0,1518198145272.0,0
1518198145272.0,1518198156265.0,3
1518198156265.0,1518198167266.0,0
1518198167266.0,1518198178257.0,1
1518198178257.0,1518198188555.0,0
1518198188555.0,1518198199485.0,2
1518198199485.0,1518198210351.0,0
1518198210351.0,1518198221286.0,3
1518198221286.0,1518198232277.0,0
1518198232277.0,1518198243262.0,1
1518198243262.0,1518198254270.0,0
1518198254270.0,1518198265278.0,2
1518198265278.0,1518198276268.0,0
1518198276268.0,1518198287270.0,3
1518198287270.0,1518198298256.0,0
1518198298256.0,1518198308287.0,1
1518198308287.0,1518198319254.0,0
1518198319254.0,1518198329283.0,2
1518198329283.0,1518198340268.0,0
1518198340268.0,1518198351280.0,3
