Time,AccelX,AccelY,AccelZ
1518195570275.0,2.98466492,1.012527506666667,6.719717508
1518195570476.0,3.0677398700000005,0.7482269733333333,6.385672089333333
1518195570677.0,3.0825775166666673,0.2873871400000003,5.936416709333333
1518195570879.0,3.017672730000001,0.019912773333333328,5.684573439333333
1518195571080.0,2.86183777,-0.7005462266666667,5.400436467999999
1518195571281.0,3.020291146666667,-1.5519256266666668,4.748373468
1518195571483.0,3.001327523333334,-1.6843536073333334,4.538424728
1518195571684.0,3.5299286000000007,-2.7197357073333333,4.022280927999999
1518195571886.0,3.3361663933333343,-2.795272817333333,3.7271942496666655
1518195572087.0,3.4080536033333346,-3.2821380506666666,3.1378143496666677
1518195572288.0,3.4233673233333346,-3.3222869773333334,2.807894907666667
1518195572490.0,3.533023083333334,-3.7782073773333327,2.5360565210000003
1518195572691.0,3.3894073600000008,-4.279354843999999,2.036892687666667
1518195572893.0,3.3237091166666675,-4.378457629333333,1.617629987666667
1518195573094.0,3.1258209266666674,-5.792001395999999,1.4676666010000003
1518195573296.0,3.184219363333334,-5.8489716126666655,1.1755950593333333
1518195573497.0,3.8127166733333335,-6.735977222666666,0.574868759333333
1518195573699.0,3.845407106666667,-6.777395679333333,0.2976348660000002
1518195573900.0,4.586972033333334,-7.6722565126666655,-0.21668399066666655
1518195574101.0,4.029727153333334,-7.839834639333334,-0.7421112239999998
1518195574303.0,4.574832136666667,-8.659158366,-1.4098846573333332
1518195574504.0,4.627120956666667,-8.72414249933333,-1.5976959239999997
1518195574706.0,5.3581329066666665,-9.293051171333332,-1.817959594
1518195574907.0,4.942520103333333,-9.035653718,-2.204928584
1518195575110.0,4.652828953333334,-9.168478418,-2.3542571973333333
1518195575310.0,4.422250334999999,-8.863076804666667,-2.2499175986666664
1518195575512.0,4.236025978333333,-9.265994271333334,-2.5036651586666667
1518195575714.0,4.122244241666667,-9.046365366333331,-2.4847015353333335
1518195575914.0,4.165725701666667,-9.384298717666665,-2.664340205333333
1518195576117.0,3.7232940549999998,-9.089926159000001,-2.7158355653333333
1518195576319.0,3.8024017283333333,-9.139041159000001,-2.7321807786666668
1518195576519.0,3.655691525,-9.095797759,-2.699172966
1518195576722.0,3.8546112016666667,-8.911953779000001,-2.611416619333333
1518195576922.0,3.7331329316666664,-9.123251379000001,-2.911502069333333
