Start,End,Label
1518195570275.0,1518195575424.0,0
1518195575424.0,1518195586290.0,1
1518195586290.0,1518195596301.0,0
1518195596301.0,1518195606317.0,2
1518195606317.0,1518195617303.0,0
1518195617303.0,1518195628304.0,3
1518195628304.0,1518195639303.0,0
1518195639303.0,1518195650303.0,1
1518195650303.0,1518195660323.0,0
1518195660323.0,1518195671301.0,2
1518195671301.0,1518195681318.0,0
1518195681318.0,1518195691562.0,3
1518195691562.0,1518195702389.0,0
1518195702389.0,1518195713318.0,1
1518195713318.0,1518195724293.0,0
1518195724293.0,1518195734311.0,2
1518195734311.0,1518195745303.0,0
1518195745303.0,1518195756297.0,3
1518195756297.0,1518195767292.0,0
1518195767292.0,1518195777314.0,1
1518195777314.0,1518195788307.0,0
1518195788307.0,1518195799289.0,2
1518195799289.0,1518195809551.0,0
1518195809551.0,1518195820462.0,3
